ticker;free_float;weight
AFKS;33%;0.050776836
AFLT;25%;0.056162309
AGRO;24%;0.042286902
APTK;6%;0.005551543
AQUA;18%;0.01022322
ASTR;15%;0.017484229
BELU;24%;0.020682367
BSPB;27%;0.046463429
CBOM;22%;0.046446856
ELFV;31%;0.00681419
ETLN;51%;0.013568635
EUTR;22%;0.004902046
FEES;18%;0.033161448
FESH;8%;0.011842601
FLOT;16%;0.040703637
GEMC;27%;0.017207728
HEAD;62%;0.099235523
LEAS;13%;0.010506893
LENT;21%;0.026327139
LSRG;25%;0.018907953
MBNK;13%;0.007723056
MDMG;32%;0.022141643
MRKC;33%;0.005581079
MRKP;27%;0.010485432
MSNG;20%;0.021040507
MSRS;10%;0.006125827
MTLR;43%;0.020958275
MTLRP;60%;0.010118213
MVID;24%;0.004800461
OGKB;19%;0.007752933
POSI;21%;0.037973757
RASP;7%;0.012938093
RENI;26%;0.01480284
RNFT;26%;0.013382179
RTKM;29%;0.072457416
RTKMP;69%;0.010148436
SELG;25%;0.015448507
SFIN;22%;0.014978913
SGZH;25%;0.006324394
SMLT;9%;0.010666639
TGKA;19%;0.005510706
TRMK;8%;0.00992003
UGLD;10%;0.015707398
UPRO;16%;0.017995012
VKCO;47%;0.038210295
VSEH;12%;0.007552473
